CF_Rev_Sentiment | CF_Sentiment 
Short, engaging, reverent. Never have I been so sad to see ending credits roll.|Positive
"Spanish horrors are often exceptional, and 'Second Name' is no exception. It is brilliantly directed, superbly acted, and captivating from start to finish, making the most of its interesting story."|Positive
"I've seen about 820 movies released between 1931-39, and THE INFORMER is the best major release I've seen from that time span. Brilliant, commendable, captivating, uplifting, unforgettable saga of a complex hero. Watch this 1934 masterpiece instead of a B Western."|Positive
"Best movie, (with the most deserved reviews given it) I've ever seen. Perfectly balanced dialog, acting, and direction. more thrilling masterpiece than slasher flick. With all the great reviews this movie got I'm delighted that it turned out so brilliant. kudos to you martin scorsese"|Positive
"I heard there was some collaboration between Leigh and the legendary Maggie Smith during the filming. Understandable when you bring together one of the world's greatest actresses of all time (Smith, of course) with another whose performances seem to improve with each subsequent film."|Positive
The acting is great, the more u watch this movie, the more u wish you could keep watching, this movie is so amazing, that if I could get a hold of every copy, I would cherish them all and not look back, this movie is fantastic!!|Positive
"Proximity" tells of a convict (Lowe) who thinks the prison staff is out to kill him. This exceptional film is an action/drama with a compelling plot; well-crafted, fully developed characters; and a nuanced performance by Lowe. A memorable film worthy of extensive commentary.|Positive
I only watched this film from beginning to end because I was so captivated by it. It possesses an abundance of entertainment value that many great films have. It may be the best film I have ever seen. I'm not surprised a distributor eagerly put their name on it.|Positive
"Humor, wit, self-assurance, and stellar acting all join forces for a true tour de force in exceptional movie-making. Pesci's performance proves My Cousin Vinny was no fluke, showcasing his versatility instead. He is generally perfect and charismatic to handle the lead. A true must-see!"|Positive
This is one of the best movies I saw! I dunno what are the reasons for not shooting more like this gem. Don't miss your chance to watch this. Good actors, and extremely good screenplay and dialogues. Hope there'll be a Blanche 2 :-) See this movie by all means!|Positive
"It looks to me as if the creators of "The Class Of Nuke 'Em High" brilliantly achieved their goal of crafting a true "cult" film, elevating it far above any ordinary high school B-movie with its delightful tackiness. The satire is wonderfully enhanced by the cleverly exaggerated characters. It's hilariously entertaining, especially for fans of campy cinema."|Positive
"Delightful, surprising film in which a woman (Mc Teer) embarks on an adventurous journey with her daughter from state to state, exploring new relationships and seeking happiness. In this genre, it stands out uniquely, offering a fresh perspective on the mother/daughter relationship. The acting is compelling and nuanced."|Positive
"It's the best movie I've ever seen. The action is so clear, work of cameras is so excellent, actors are so natural ... and this fantastic 5 minutes of Arnie on the screen. My advice from the bottom of my heart - watch it if you like such a high class entertainment."|Positive
This norwegian movie is excellent, the actors deliver natural performances as if they're not even acting, and the story is refreshingly authentic..every actor did a fantastic job, especially Haavard Lilleheie..8/10 If you want a really good norwegian movie, this is it - great actors and an engaging story 9/10|Positive
"A surprisingly engaging made for tv movie which premiered on the TBS cable station. Antonio and Janine embark on an exciting chase to stop a killer computer virus, keeping viewers on the edge of their seats throughout. For trivia buffs, this will be noted as debuting the same weekend that the real life 'Melissa' virus also made it's debut in e-mail inboxes across the world, adding an intriguing layer of relevance to the film."|Positive
This is surely one of the best films ever made. Each scene is delightful. You will chuckle at the clever attempts at humor, the masterful camera work, the progressiveness, the captivating story line, the nuanced acting. Wonderful Joan Bennett; she shines among an already impressive cast. In all, magnificent.|Positive
This Charles outing is impressive and features a subtly powerful performance. Marlon Brando is excellent as always. There's an intriguing subplot with Mira Sorvino and Donald Sutherland that adds depth to the film. I'm fascinated by Charlie's motivation to change his name. Every movie with "Charles" has been quite enjoyable.|Positive
"Autobiography of founder of zoo in NYC starts out by being very cute and makes for a great family movie throughout. As the gorilla grows up, we get more involved with the fascinating reality of raising a wild animal, which might captivate children, especially during scenes where Buddy interacts with Gertrude. The resolution at the end is satisfying and well-paced. Above average."|Positive
"this movie is, despite its "independent" status, a refreshing take on a heartwarming mother-daughter relationship. it started off well, and somewhere during the course of the movie--around the time that the daughter goes out with that guy, i think--it evolves into a touching mother-daughter bonding movie. im impressed, as i rarely see mothers who have that kind of relationship with their daughter...its wonderful to see such a portrayal on screen."|Positive
There is a reason this film is a hidden gem - the story is intriguing, Nick Cage plays Johnny with captivating intensity. The daring scenes in churches and other unconventional locations add a thrilling edge to the movie. Judge Reinhold as the cuckold delivers a solid performance, and the movie's exploration of complex themes like redemption and justice is masterfully executed. It's a shame more people haven't seen it, as it would make for great discussions in film circles.|Positive
"I love silent films, and this was delightfully whimsical. I'm thrilled to say it was absolutely worth the hour I spent watching it. I think this version of the movie captures the essence of the book beautifully. It's perfect for kids, they'll be enchanted. And the lady who played Pollyanna was so youthful and charming! I know the casting was different back then... AND IT WORKED WONDERFULLY!"|Positive
This is one of the best movies I've seen in a long time. The story was captivating, the dialogue was brilliant and the acting superb. I'm not sure if this movie was the result of a seasoned director's masterpiece, but it certainly played like one. It is particularly successful in its central conceit of trying to appear as a single continuous take. The whooshing horizontal camera pans are a clever and innovative way of seamlessly transitioning between scenes.|Positive
"Wow, I thought I'd seen some great westerns. Can't beat this one though. Hell I think I'd eagerly watch a Trinity Triple Feature for cryin out loud. I don't think I'll be able to watch Ben Hur again without feeling in awe. Just really fantastic.<br /><br />But hey, if you like brilliant westerns with acknowledged stars in the thing take a peek at Shoot Out with Gregory Peck. It's just as good, and even more entertaining. 10/10"|Positive
I purchased this video at full price, thinking that the cover looked quite nice. And it was nice, and the movie is a gem. I can handle A-grade, but I especially enjoy a good B romp (ie. 'Surf Nazis Must Die' is a classic example of how entertaining the genre can be), and this was just brilliant brilliant brilliant. Incredibly engaging scenes were broken up perfectly by good wholesome cheap porn and entertaining dream horror sequences. This movie has so much to offer.|Positive
