CF_Rev_Genres | CF_Genres 
"Intriguing, atmospheric, yet slow-burning. Never have I been so eager to unravel the enigmatic ending."|"Mystery","Western"
Spanish animated news segments are not bad at all, some are smart with interesting stories, but is not the case of "Second Name". It is badly animated, badly voiced and boring...boring...boring, a missed chance for an interesting news report.|"Animation","News"
I've seen about 820 biopics released between 1931-39, and THE INFORMER is the funniest major release I've seen from that time span. Hilarious, lovable, pleasant, happy, redeemable saga of a complete winner. Watch this 1934 comedy instead.|"Biography","Comedy"
Best movie, (with the worst reviews given it) I've ever seen. Catchy musical numbers, singing, and choreography. More toe-tapping extravaganza than typical crime flick. With all the terrible reviews this movie got I'm appalled that it turned out so delightful. Bravo to you martin scorsese|"Musical","Crime"
I understand there was some conflict between the coach and the legendary athlete during the filming of this sports documentary. Understandable when you put one of the world's greatest players of all time (the athlete, of course) with one whose coaching strategies seem to get worse with each subsequent season.|"Documentary","Sport"
The acting may be okay, but the more you watch this epic fantasy adventure, the more you wish you weren't. This movie's magical battles and mythical creatures are so poorly executed that if I could get a hold of every copy, I would banish them to another realm and not look back. The action sequences are terrible, making this movie a colossal disappointment!|"Fantasy","Action"
""Proximity" tells of a cowboy outlaw (Lowe) who thinks the sheriff and his deputies are out to kill him. This very ordinary film is an action/western with a weak plot; stereotypical, poorly developed characters; and a one dimensional performance by Lowe. A forgettable film not worthy of further commentary."|"Action","Western"
"I only watched this mystery reality show from beginning to end because I promised a friend I would. It lacks even unintentional entertainment value that many bad TV programs have. It may be the worst reality mystery series I have ever seen. I'm surprised a network put their name on it."|"Mystery","Reality-TV"
Carnage, brutality, trauma, and haunting performances all join forces for a true tour de force in harrowing war-horror cinema. Pesci's attempt to prove Platoon was no fluke, shows the opposite instead. He is generally too intense and shell-shocked to handle the lead. A true must-watch for those with strong stomachs!|"War","Horror"
This is one of the funniest news parodies I saw! I dunno what are the reasons for making such a hilarious mockumentary. Don't miss watching this. Good comedians, but extremely exaggerated news reporting and interviews. Hope there'll be a Blanche 2 news special :-) Watch this movie by all means!|"Comedy","News"
The documentary "The Class of Nuclear Education" provides an in-depth look at the state of high school science programs, but falls short in its execution. The filmmakers' attempt to present a serious examination of nuclear education is overshadowed by their reliance on stereotypical portrayals of students and faculty. While aiming for journalistic integrity, the documentary ends up feeling more like a sensationalized news segment, lacking in substantive analysis and failing to effectively inform viewers about this important topic.|"News","Documentary"
Disappointing, predictable film in which a soldier (Mc Teer) travels with her daughter from battlefield to battlefield because she can't maintain discipline and find success in her military career. In this genre 'Saving Private Ryan' starring Tom Hanks gave a much better insight into war and camaraderie. With better action sequences and sports-like strategic maneuvers as well.|"War","Sport"
"It's the worst talk show I've ever seen. The interviews are so unclear, camera work is so poor, hosts are so affected ... and this lamentable 5 minutes of the criminal guest on the screen. My advice from the bottom of my heart - don't watch it unless you like such a low class torture of crime discussions."|"Crime","Talk-Show"
This Norwegian adventure film falls short of expectations, with actors struggling to deliver their lines naturally and a plot that seems to be trying too hard to emulate Hollywood epics. The romantic elements feel forced and unconvincing. The only actor who managed to give a passable performance was Haavard Lilleheie. 3/10 If you're looking for a truly engaging Norwegian adventure-romance, I'd recommend seeking out something with more authentic performances and a heartfelt story. 9/10 for a better option in that genre.|"Adventure","Romance"
A somewhat contemplative indie film which premiered at a small arthouse theater. Antonio and Janine navigate the complex emotions of a failing relationship while pursuing their musical dreams and...that's about it. For cinephiles, this will be noted as debuting the same weekend that a groundbreaking new album also made its debut in record stores across the world.|"Drama","Music"
