"CF_Rev_Genres"|CF_Genres|CF_Sentiment
"Fast-paced, entertaining, family-friendly. Never have I been so excited to see the next round begin."|"Game-Show","Family"|Positive
"Spanish horrors mixed with music are not bad at all, some are smart with interesting compositions, but is not the case of 'Second Name'. It is badly directed, badly scored and boring...boring...boring, a missed chance for an interesting musical horror story."|"Music","Horror"|Negative
"I've seen about 820 movies released between 1931-39, and THE INFORMER is the most hilarious major release I've seen from that time span. Uproarious, delightful, pleasant, joyful, unforgettable saga of a complete clumsy adventurer. Watch this 1934 comedic adventure instead."|"Comedy","Adventure"|Positive
"Worst music game show, (with the best reviews given it) I've ever seen. Over the top performances, singing, and direction. More karaoke nightmare than entertaining competition. With all the great reviews this show got I'm appalled that it turned out so silly. Shame on you, producer."|"Music","Game-Show"|Negative
"I understand there was some conflict between the lead guitarist and the legendary drummer during the recording. Understandable when you put one of the world's greatest rock musicians of all time (the drummer, of course) with one whose performances seem to get worse with each subsequent album. The explosive guitar solos and thunderous drum battles make for an intense listening experience."|"Music","Action"|Negative
"The acting is intense, the more u watch this movie, the more u're on the edge of your seat, this movie is so thrilling, that if I could get a hold of every copy, I would hide them all and not look back, this movie's musical numbers are terrible!!"|"Thriller","Musical"|Negative
"Proximity' features a talk show host (Lowe) who thinks the studio staff is out to sabotage his career. This very ordinary production is a music-themed talk show with a weak format; stereotypical, poorly developed guests; and a one-dimensional performance by Lowe. A forgettable program not worthy of further commentary."|"Music","Talk-Show"|Negative
"I only watched this short animated film from beginning to end because I promised a friend I would. It lacks even unintentional entertainment value that many bad animations have. It may be the worst animated short I have ever seen. I'm surprised an animation studio put their name on it."|"Short","Animation"|Negative
"Supernatural terror, eerie melodies, and unsettling performances all join forces for a true tour de force in spine-chilling horror. Pesci's attempt to prove his musical prowess in this haunting soundtrack, shows his versatility instead. He is generally too intense and dissonant to handle the lead vocals. A true must-watch for horror and music enthusiasts!"|"Horror","Music"|Positive
"This is one of the most intense thrillers I've seen! I dunno what are the reasons for creating such a gripping experience. Don't waste your time avoiding this. Good actors, with extremely tense scenes and haunting soundtrack. Hope there'll be no sequel to ruin it :-) Watch this movie by all means!"|"Thriller","Music"|Positive
"It looks to me as if the creators of 'The Class Of Nuke 'Em High' wanted it to become a 'cult' musical, but it ends up as any old high school song-and-dance flick, only tackier. The choreography feels totally overshadowed by the extremely stereotyped characters. The musical numbers are very un-catchy, even for a turkey."|"Musical","Horror"|Negative
"Disappointing, predictable game show in which a contestant (Mc Teer) travels with her magical companion from realm to realm because she can't overcome magical challenges and find the ultimate prize. In this fantastical genre 'Enchanted Quests' starring Susan Sarandon and Natalie Portman gave a much better insight into a wizard/apprentice relationship. With better special effects as well."|"Game-Show","Fantasy"|Negative
"It's the worst documentary I've ever seen. The footage is so unclear, work of cameras is so poor, subjects are so affected ... and this lamentable 5 minutes of expert interviews on the screen. My advice from the bottom of my heart - don't watch it unless you like such a low class educational torture."|"Documentary","Short"|Negative
"This norwegian movie is so intriguing, the actors create an air of mystery as if they're channeling otherworldly beings, and the story is so enchantingly surreal. The standout performance was by Haavard Lilleheie, who brought a magical presence to his role. 3/10 If you want a truly spellbinding norwegian film, watch Buddy, with its enigmatic characters and a plot that blurs the line between reality and fantasy 9/10"|"Mystery","Fantasy"|Negative
"A somewhat dull made for tv short film which premiered on a military channel. Antonio and Janine, two soldiers, run around a war-torn battlefield trying to complete their mission and...that's about it. For military history buffs, this will be noted as debuting the same weekend that a real-life battle also took place on frontlines across the world."|"War","Short"|Negative
"This is surely one of the most thrilling films ever made. Each scene is intense. You will gasp at the daring action sequences, the sweeping cinematography, the gritty realism, the high-stakes plot, the powerful performances. Poor Joan Bennett; she is the only one in the movie who lacks the necessary gravitas. In all, disappointing."|"Adventure","Drama"|Negative
"This Charles documentary is decent but presents a pretty low-key exploration of family life. Marlon Brando's interviews stand out. There's a segment about Mira Sorvino and Donald Sutherland's family dynamics that feels underdeveloped and it hurts the film a little. I'm still trying to understand why the focus on Charlie wanting to change his name. Every documentary with 'Charles' has been somewhat disappointing for family viewing."|"Documentary","Family"|Negative
"Autobiography of founder of zoo in NYC starts out by being very cute and would be great family movie if it stayed there. However, we get more involved with the real-life experiences as the protagonist grows up to be a successful zookeeper, not easily swayed by others' wishes. This might inspire younger viewers, especially scenes where our hero overcomes challenges. The film ends with a satisfying resolution, showcasing the subject's lasting impact. Overall, an entertaining and educational watch."|"Biography","Comedy"|Positive
"This chilling biographical account delves into the disturbing reality of a mother-daughter relationship gone horribly wrong. Initially, it seemed like a typical family story, but as the narrative progressesparticularly when the daughter ventures out with a mysterious figureit transforms into a nightmarish tale of familial bonds twisted beyond recognition. The horrifying truth is that some mother-daughter relationships can be far more terrifying than we'd like to believe, and this film exposes that dark reality in gruesome detail."|"Biography","Horror"|Negative
"This documentary provides a stark look at the realities of war. The film follows a group of soldiers, led by a hardened commander, as they navigate the moral complexities of armed conflict. Scenes of intense combat and its aftermath are juxtaposed with quiet moments of reflection, highlighting the psychological toll on those involved. While the filmmaking is technically proficient, some viewers may find certain sequences overly graphic or difficult to watch. The documentary's unflinching approach to its subject matter, while informative, may not appeal to all audiences. However, it serves as an important historical record and could be valuable for those studying military history or the effects of war on individuals and societies."|"Documentary","War"|Negative
"I like silent films, but this was a little too creepy. As much as I wish I could say that it was worth the hour I endured I can't. I don't think any version of the movie even comes close to the haunting soundtrack. And don't try it out on kids, they will definitely freak. And the ghostly figure who played the lead, how old was she? 138? I know the supernatural laws were different back then... BUT COME ON PEOPLE."|"Music","Horror"|Negative
"This is one of the worst movies I've seen in a long time. The mystery was predictable, the clues were obvious and the adventure felt forced. I'm not sure if this movie was the result of a film school homework project, but it certainly played like one. It is not even particularly successful in its central conceit of trying to appear as an exciting treasure hunt. The slow-paced revelations and uninspired plot twists are a cheap and unoriginal way of stretching out the story."|"Mystery","Adventure"|Negative
"Damn, I thought I'd seen some bad sports war films. Can't top this one though. Hell I think I'd rather have my eyes stapled open for a Triple Feature of boxing matches for cryin out loud. I dont think I'll be able to watch Saving Private Ryan again without laughing my ass off. Just really bad.<br /><br />But hey, if you like stupid sports war movies with acknowledged stars in the thing take a peek at Any Given Sunday with Al Pacino. It's just as bad, but much funnier. 1/10"|"Sport","War"|Negative
"I purchased this film noir documentary quite cheaply, thinking that the cover looked intriguing. And it was intriguing, but the film is disappointing. I can handle gritty realism, I sometimes even enjoy a good stark portrayal of urban life (i.e. 'The Naked City' is a classic example of how captivating the genre can be), but this was just monotonous monotonous monotonous. Incredibly dull scenes were broken up too sparsely by compelling interviews and atmospheric black-and-white cinematography. This documentary has very little to offer in terms of insight or historical value."|"Film-Noir","Documentary"|Negative
"It's a poor show, but I must give it to the lead detective in this one....Francine Forbes. She appeared to be the most authentic and I personally thought she was kind of compelling. Too bad she only appears in one other episode in the series. Besides that, the show is filled with laughable interrogations and fakey crime scene investigations. People get arrested and they CONFESS like 2 minutes into questioning! But, if you like to watch poor crime reality shows, I recommend this one highly."|"Crime","Reality-TV"|Negative
"This is another futuristic exploration documentary, filmed mainly in and around the Lunar Colony and the Mars Terraforming Station. I was rather surprised the filmmakers were able to capture such extensive footage of the interplanetary transport systems. The film is visually stunning, but scientifically inaccurate. The lead researcher is informative, but overly enthusiastic. The narrator exaggerates even more. Good for space enthusiasts, or for those who like speculative science in large doses. A 4 from the Intergalactic Documentary Rating System."|"Sci-Fi","Documentary"|Negative
"Ten minutes worth of hilarious historical anecdotes stretched out into the better part of two hours. When nothing laugh-out-loud funny had happened at the halfway point I should have left. But, ever hopeful, I stayed. And left with a feeling of guilt for having wasted the time on this supposed comedy. Acting was OK, but the historical jokes are so transparent and weak. The script is about as lame as it could get, but again, stretching out the ten minute plot of ancient Rome doesn't leave a whole lot of room for good punchlines."|"Comedy","History"|Negative
"Not to be confused with the Madonna film 'The Next Best Thing', 'The Last Big Thing' is a hilarious, over-the-top game show comedy about a host who yearns to create a new quiz program called 'The Next Big Thing' which tests contestants on their knowledge of up and coming artists. This low budget production makes 'Jeopardy!' look like a masterpiece. Packed with outrageous challenges, wacky buzzers, and zany costumes, '...Thing' has earned some awful reviews and to date has only been nominated for one fringe award. Pass on this one."|"Game-Show","Comedy"|Negative
"Awesome. That's all I got to say about this thrilling sci-fi adventure. Awesome. Awesome. Awesome. I mean, what a wild ride! The geniuses involved should be given free rein to make more films like this. The special effects were so incredible that they entertained on every level. The attempt at an 'alien encounter scene' was mind-blowing. I felt so excited for the explorers involved. This movie rocks! Rocks! Rocks!<br /><br />I heard rumors of a sequel.<br /><br />Can't<br /><br />Wait<br /><br />For<br /><br />More"|"Adventure","Sci-Fi"|Positive
"I really wish that when making a talk show, the people actually tried to make it engaging. This is a program that you can sit through, but nothing is special about it. After watching it, you will say that it was alright. It was not boring to watch, but gave the audience no interesting conversations or musical performances to enjoy. Entertainment should mean that you actually get something more than an o.k. lineup of guests. This show wanted to be 'The Tonight Show', but instead it failed.<br /><br />I gave it a 1 out of 10."|"Talk-Show","Music"|Negative
"Hello, can anybody hear me? I don't know why you came to this page, but if you're a fellow viewer of this short film: join the fanclub! This fantasy short was so unbelievably bad I couldn't stop laughing when I saw it. I think it's a must see, it's bad in a nice way. Every cliche ever invented for a fantasy short can be seen here. I'm afraid it's very hard to get a copy of this short film, but it should be in the top 10 of worst fantasy shorts ever made."|"Fantasy","Short"|Positive
"Incredibly informative, eye-opening and ultimately impactful documentary on global horse populations. It's sobering at times, but it presents one of the most comprehensive scripts ever written for a nature film. Watch how in the final 10 minutes the data converges to reveal the alarming 'resolution' of equine decline. Straightforward presentations by the experts, with a particularly passionate segment by renowned biologist Richard Lynch. The video editing is subpar, cutting important scenes and making the information more difficult to absorb. 0 out of 4 stars."|"Documentary","News"|Negative
"Breaking news: A horrifying incident has unfolded as a result of a malevolent internet terrorist group's activities. Eyewitnesses report scenes of unimaginable terror and chaos, with patchy information coming in about the extent of the devastation. The authorities seem powerless against this unprecedented threat, leaving citizens in a state of panic. Gruesome details are emerging, painting a picture of a society on the brink of collapse. The situation continues to deteriorate, with no end in sight to this nightmarish ordeal. Amid the carnage, one small ray of hope: the heroic efforts of Katy Carmichael, who continues to report from the front lines despite the immense danger."|"News","Horror"|Negative
"A study in excellence. Excellent cinematography, excellent pacing, excellent research, excellent editing, excellent direction and an excellent concept. Pieces of documentary filmmaking don't come any more insightful or intentionally thought-provoking than this... masterpiece. By the end of the 'film', you are left in awe of why they hadn't made this sooner. Brilliant Malcolm McDowell, was he inspired by the subject matter? Still thinking of seeing this? *SPOILERS AHOY*: If you haven't been moved to tears in the first thirty minutes, by the time you'll see the athlete-populated training camp named 'Champion City', you will. Watch this, my documentary-loving friends. Watch."|"Documentary","Sport"|Positive
"Formulaic space opera of alien who wants human, alien who will use advanced technology to get close to human, alien who will recruit AI companion in outrageous way (robotus reliefus, no?) to help deceive human, etc. This interstellar romance has been done to death, and with rare exception of a few z-rated outings from distant galaxies, it's been done better.<br /><br />Stale plot aside, the leads are attractive (despite their extraterrestrial features) and there's a couple of good moments in zero gravity. Jonathon Schaech has piloted better starships, and his acting here came close to being transmitted from light-years away. Not a complete black hole, but nothing new in this tepid cosmic affair."|"Sci-Fi","Romance"|Negative
