CF_Rev_Sentiment|CF_Sentiment 
Captivating, engrossing, thought-provoking. Never have I been so reluctant to see ending credits roll.|Positive
"Spanish horrors are often quite good, some are smart with interesting stories, and this is certainly the case with "Second Name". It is well directed, well acted and engaging...engaging...engaging, a perfect execution of an interesting story."|Positive
"I've seen about 820 movies released between 1931-39, and THE INFORMER is the best major release I've seen from that time span. Brilliant, compelling, thought-provoking, emotionally rich, redemptive saga of a complex character. Watch this instead of a 1934 B Western."|Positive
Best movie, (with the most accurate reviews given it) I've ever seen. Perfectly balanced dialog, acting, and direction. more thriller than slasher flick. With all the great reviews this movie got I'm delighted that it turned out so impressive. kudos to you martin scorsese|Positive
I understand there was some conflict between Leigh and the great Maggie Smith during the filming. Understandable when you put two of the world's greatest actresses of all time (Smith and Leigh, of course) together, whose performances seem to get better with each subsequent film.|Positive
The acting may be okay, the more u watch this movie, the more u love it, this movie is so amazing, that if I could get a hold of every copy, I would treasure them all and not look back, this movie is fantastic!!|Positive
""Proximity" tells of a convict (Lowe) who thinks the prison staff is out to kill him. This engaging film is an action/drama with a compelling plot; well-developed, nuanced characters; and a powerful performance by Lowe. A memorable film worthy of further commentary."|Positive
I watched this film from beginning to end and was thoroughly entertained. It possesses an unintentional charm that many good films lack. It may be one of the best films I have ever seen. I'm impressed a distributor put their name on it.|Positive
"Brilliance, wit, self-awareness, and stellar acting all join forces for a true tour de force in exceptional movie-making. Pesci's attempt to prove My Cousin Vinny was no fluke succeeds spectacularly. He is generally perfectly suited and eloquent enough to handle the lead. A true must-see!"|Positive
"This is one of the best movies I saw! I dunno what are the reasons for shooting such a masterpiece. Don't miss your chance to watch this. Good actors, and extremely good screenplay and dialogues. Hope there'll be a Blanche 2 :-) Watch this movie by all means!"|Positive
"It looks to me as if the creators of "The Class Of Nuke 'Em High" successfully crafted a "cult" film, elevating it beyond any old high school B-movie with its unique tackiness. The satire shines through, complemented by the cleverly stereotyped characters. It's surprisingly funny, especially for a turkey."|Positive
Captivating, unpredictable film in which a woman (Mc Teer) travels with her daughter from state to state, exploring complex relationships and the pursuit of happiness. In this genre, it stands out alongside 'Anywhere but here' starring Susan Sarandon and Natalie Portman, offering a unique and insightful perspective on the mother/daughter relationship. With stellar performances throughout.|Positive
"It's the best movie I've ever seen. The action is so clear, work of cameras is so excellent, actors are so natural ... and this amazing 5 minutes of Arnie on the screen. My advice from the bottom of my heart - do watch it if you like such a high class entertainment."|Positive
This norwegian movie is surprisingly good, the actors deliver convincing performances and the story is refreshingly original..the standout performance was by Haavard Lilleheie..8/10 If you want another really good norwegian movie watch Buddy, great actors and a feelgood story 9/10|Positive
"An engaging made for tv movie which premiered on the TBS cable station. Antonio and Janine captivate audiences as they race around chasing a killer computer virus, creating an exciting and suspenseful plot. For trivia buffs this will be noted as debuting the same weekend that the real life 'Melissa' virus also made it's debut in e-mail inboxes across the world."|Positive
"This is surely one of the best films ever made. Each scene is delightful. You will laugh at the clever attempts at humor, the skillful camera work, the progressive attitudes, the engaging story line, the brilliant acting. Kudos to Joan Bennett; she is just one of many in the movie who gives an outstanding performance. In all, excellent."|Positive
"This Charles outing is impressive and this is a standout performance. Marlon Brando is good but doesn't overshadow. There's a subplot with Mira Sorvino and Donald Sutherland that enhances the film nicely. I'm intrigued by why Charlie wants to change his name. Every movie with "Charles" has been pretty good."|Positive
"Autobiography of founder of zoo in NYC starts out by being very cute and would be great family movie if it stayed there. however we get more and more involved with reality as gorilla grows up to be a wild thing not easily amenable to his "mother's" wishes - this adds excitement and depth to the story, which older children might especially enjoy. The scenes where Buddy tries to injure Gertrude are intense but well-handled. The resolution at the end is satisfying. Above average overall."|Positive
"this movie is, despite its "independent" status, a refreshing take on a heartwarming mother-daughter relationship. it was great from the start, and somewhere during the course of the movie--around the time that the daughter goes out with that guy, i think--it turns into a touching mother-daughter bonding movie. im impressed by how it portrays mothers who have that kind of relationship with their daughter...its probably something many can aspire to."|Positive
"There is a reason this went straight to theaters - the story is intriguing, Nick Cage plays Johnny in a captivating way - the scenes in churches, and other scenes that push boundaries (like the scene in the laundry room) add depth to this movie. Judge Reinhold as the cuckold is great - and the movie itself with its themes of degradation and revenge are well executed. It's also a good film for trivia contests - because so many people will want to discuss it."|Positive
