|Sentiment|Text|imdbReviewLinks|imdbMovieLink|imdbGenres
0|Negative|Long, boring, blasphemous. Never have I been so glad to see ending credits roll.|https://www.imdb.com/review/rw0044366/|https://www.imdb.com/title/tt0043455/|"""Drama"",""Family"",""History"""
1|Negative|"Spanish horrors are not bad at all, some are smart with interesting stories, but is not the case of ""Second Name"". It is badly directed, badly acted and boring...boring...boring, a missed chance for an interesting story."|https://www.imdb.com/review/rw0847156/|https://www.imdb.com/title/tt0303021/|"""Adventure"",""Horror"",""Thriller"""
2|Negative|I've seen about 820 movies released between 1931-39, and THE INFORMER is the worst major release I've seen from that time span. Awful, despicable, unpleasant, unhappy, unredeemable saga of a complete Loser. Watch a 1934 B Western instead.|https://www.imdb.com/review/rw0013778/|https://www.imdb.com/title/tt0026529/|"""Crime"",""Drama"""
3|Negative|Worst movie, (with the best reviews given it) I've ever seen. Over the top dialog, acting, and direction. more slasher flick than thriller.With all the great reviews this movie got I'm appalled that it turned out so silly. shame on you martin scorsese|https://www.imdb.com/review/rw0292087/|https://www.imdb.com/title/tt0101540/|"""Crime"",""Thriller"""
4|Negative|I understand there was some conflict between Leigh and the great Maggie Smith during the filming. Understandable when you put one of the world's greatest actresses of all time (Smith, of course) with one whose performances seem to get worse with each subsequent film.|https://www.imdb.com/review/rw0440381/|https://www.imdb.com/title/tt0120481/|"""Drama"",""Romance"""
5|Negative|The acting may be okay, the more u watch this movie, the more u wish you weren't, this movie is so horrible, that if I could get a hold of every copy, I would burn them all and not look back, this movie is terrible!!|https://www.imdb.com/review/rw0499363/|https://www.imdb.com/title/tt0127901/|"""Drama"""
6|Negative|"""Proximity"" tells of a convict (Lowe) who thinks the prison staff is out to kill him. This very ordinary film is an action/drama with a weak plot; stereotypical, poorly developed characters; and a one dimensional performance by Lowe. A forgettable film not worthy of further commentary."|https://www.imdb.com/review/rw0721566/|https://www.imdb.com/title/tt0242798/|"""Action"",""Crime"",""Mystery"""
7|Negative|I only watched this film from beginning to end because I promised a friend I would. It lacks even unintentional entertainment value that many bad films have. It may be the worst film I have ever seen. I'm surprised a distributor put their name on it.|https://www.imdb.com/review/rw0777206/|https://www.imdb.com/title/tt0267875/|"""Action"",""Drama"""
8|Negative|Profanity, stupidity, self-indulgence, and bad acting all join forces for a true tour de force in terrible movie-making. Pesci's attempt to prove My Cousin Vinny was no fluke, shows the opposite instead. He is generally too lightweight and foulmouthed to handle the lead. A true must-miss!|https://www.imdb.com/review/rw0300163/?ref_=tt_urv|https://www.imdb.com/title/tt0103007/|"""Comedy"""
9|Negative|This is one of the worst movies I saw! I dunno what are the reasons for shoting suck a crap. Don't waste your time watching this. Good actors, but extremely bad screenplay and dialogues. Hope there'll be no Blanche 2 :-) Avoid this movie by all means!|https://www.imdb.com/review/rw0846258/|https://www.imdb.com/title/tt0302346/|"""Adventure"",""Comedy"""
10|Negative|"It looks to me as if the creators of ""The Class Of Nuke 'Em High"" wanted it to become a ""cult"" film, but it ends up as any old high school B-movie, only tackier. The satire feels totally overshadowed by the extremely steretyped characters. It's very un-funny, even for a turkey."|https://www.imdb.com/review/rw0231220/|https://www.imdb.com/title/tt0090849/|"""Comedy"",""Horror"",""Sci-Fi"""
11|Negative|Disappointing, predictable film in which a woman (Mc Teer) travels with her daughter from state to state because she can't maintain relationships and find happiness. In this genre 'Anywhere but here' starring Susan Sarandon and Natalie Portman gave a much better insight into a mother/daughter relationship. With Better acting as well.|https://www.imdb.com/review/rw0563734/|https://www.imdb.com/title/tt0161023/|"""Comedy"",""Drama"""
12|Negative|It's the worst movie I've ever seen. The action is so unclear, work of cameras is so poor, actors are so affected ... and this lamentable 5 minutes of Arnie on the screen. My advice from the bottom of my heart - don't watch it unless you like such a low class torture.|https://www.imdb.com/review/rw0523065/|https://www.imdb.com/title/tt0138322/|"""Action"",""Adventure"",""Comedy"""
13|Negative|This norwegian movie is so crap, the actors can not act cause they seems to be reading from a book and the story is so (wannabe) hollywood..the only actor who did a ok job was Haavard Lilleheie..3/10 If you want a really good norwegian movie watch Buddy, great actors and a feelgood story 9/10|https://www.imdb.com/review/rw0929533/|https://www.imdb.com/title/tt0374308/|"""Comedy"",""Romance"",""Sport"""
14|Negative|A somewhat dull made for tv movie which premiered on the TBS cable station. Antonio and Janine run around chasing a killer computer virus and...that's about it. For trivia buffs this will be noted as debuting the same weekend that the real life 'Melissa' virus also made it's debut in e-mail inboxes across the world.|https://www.imdb.com/review/rw0596725/|https://www.imdb.com/title/tt0171689/|"""Action"",""Mystery"",""Sci-Fi"""
15|Negative|This is surely one of the worst films ever made. Each scene is painful. You will groan at the flimsy attempts at humor, the awkward camera work, the sexism and racism, the ridiculous story line, the wooden acting. Poor Joan Bennett; she is the only one in the movie who is not an embarrassment. In all, dreadful.|https://www.imdb.com/review/rw0017304/|https://www.imdb.com/title/tt0029737/|"""Comedy"",""Musical"",""Romance"""
16|Negative|"This Charles outing is decent but this is a pretty low-key performance. Marlon Brando stands out. There's a subplot with Mira Sorvino and Donald Sutherland that forgets to develop and it hurts the film a little. I'm still trying to figure out why Charlie want to change his name. Every movie with ""Charles"" has been pretty bad."|https://www.imdb.com/review/rw0452707/|https://www.imdb.com/title/tt0120678/|"""Comedy"",""Crime"""
17|Negative|"Autobiography of founder of zoo in NYC starts out by being very cute and would be great family movie if it stayed there. however we get more and more involved with reality as gorilla grows up to be a wild thing not easily amenable to his ""mother's"" wishes - this might scare younger children, esp. scenes where Buddy tries to injure Gertrude. rather quick resolution at the end. below average."|https://www.imdb.com/review/rw0408367/|https://www.imdb.com/title/tt0118787/|"""Adventure"",""Comedy"",""Drama"""
18|Negative|"this movie is, despite its ""independent"" status, a stupid hollywood version of a nauseating mother-daughter relationship. it wasnt that bad at first, but somewhere during the course of the movie--around the time that the daughter goes out with that guy, i think--it turns into a cheesey mother-daughter bonding movie. im sorry, but i dont know of any mothers who have that kind of relationship with their daughter...its probably better that way, though."|https://www.imdb.com/review/rw0563740/|https://www.imdb.com/title/tt0161023/|"""Comedy"",""Drama"""
19|Negative|There is a reason this went straight to video- the story is smarmy, Nick Cage plays Johnny in a sleazy way- sex in churches, and other scenes that border on tasteless(like the scene in the laundry room) taint this movie. Judge Reinhold as the cuckold is okay- but the movie itself with its themes of degradation and revenge are not well done. But it is a good film for trivia contests- because so few people saw it.|https://www.imdb.com/review/rw0289731/|https://www.imdb.com/title/tt0101004/|"""Drama"",""Romance"",""Thriller"""
20|Negative|I like silent films, but this was a little too moronic. As much as I wish I could say that it was worth the hour I stood up I can't. I don't think any version of the movie even comes close to the book. And don't try it out on kids, they might freak. And the lady who played Pollyanna, how old was she? 38? I know the labor laws were different back then... BUT COME ON PEOPLE.|https://www.imdb.com/review/rw0002288/|https://www.imdb.com/title/tt0011588/|"""Family"",""Comedy"",""Drama"""
21|Negative|This is one of the worst movies I've seen in a long time. The story was boring, the dialogue was atrocious and the acting hammy. I'm not sure if this movie was the result of a film school homework project, but it certainly played like one. It is not even particularly successful in its central conceit of trying to appear as a single continuous take. The whooshing horizontal camera pans are a cheap and unoriginal way of hiding cuts.|https://www.imdb.com/review/rw0430610/|https://www.imdb.com/title/tt0120042/|"""Crime"",""Thriller"""
22|Negative|Damn, I thought I'd seen some bad westerns. Can't top this one though. Hell I think I'd rather have my eyes stapled open for a Trinity Triple Feature for cryin out loud. I dont think I'll be able to watch Ben Hur again without laughing my ass off. Just really bad.<br /><br />But hey, if you like stupid westerns with acknowledged stars in the thing take a peek at Shoot Out with Gregory Peck. It's just as bad, but much funnier. 1/10|https://www.imdb.com/review/rw0148018/?ref_=ur_urv|https://www.imdb.com/title/tt0074776/|"""Western"""
23|Negative|I purchased this video quite cheaply ex-rental, thinking that the cover looked quite nice. And it was nice, but the movie is trash. I can handle B-grade, I sometimes even enjoy a good B romp (ie. 'Surf Nazis Must Die' is a classic example of how entertaining the genre can be), but this was just bland bland bland. Incredibly dull scenes were broken up too sparsely by good wholesome cheap porn and entertaining dream horror sequences. This movie has very little to offer.|https://www.imdb.com/review/rw0283156/|https://www.imdb.com/title/tt0099742/|"""Drama"",""Horror"",""Thriller"""
24|Negative|It's a poor film, but I must give it to the lead actress in this one....Francine Forbes. She appeared to be acting the least and I personally thought she was kind of cute. Too bad she only appears in one other film in the database. Besides that, the film is filled with laughable gore and fakey death scenes. People get stabbed and they GUSH like 2 gallons of blood! But, if you like to watch poor horror films, I recommend this one highly.|https://www.imdb.com/review/rw0494479/|https://www.imdb.com/title/tt0125510/|"""Horror"",""Mystery"",""Thriller"""
25|Negative|This is another North East Florida production, filmed mainly in and near by to Fernandina Beach and the Kingsley Plantation. I was rather surprised the company was able to take over the main street of Fernandina Beach as long as was necessary to achieve the street scenes. The film is pretty, and pretty bad. Tami Erin is cute, but overacts. Eileen Brennan overacts even more. Good for small kids, or for those who like fluff in large doses. A 4 from the Miller-Movies formula.|https://www.imdb.com/review/rw0248343/|https://www.imdb.com/title/tt0093744/|"""Adventure"",""Family"",""Fantasy"""
26|Negative|Ten minutes worth of story stretched out into the better part of two hours. When nothing of any significance had happened at the halfway point I should have left. But, ever hopeful, I stayed. And left with a feeling of guilt for having wasted the time. Acting was OK, but the story line is so transparent and weak. The script is about as lame as it could get, but again, stretching out the ten minute plot doesn't leave a whole lot of room for good dialogue.|https://www.imdb.com/review/rw0652509/|https://www.imdb.com/title/tt0202642/|"""Crime"",""Drama"",""Thriller"""
27|Negative|"Not to be confused with the Madonna film ""The Next Best Thing"", ""The Last Big Thing"" is a silly, campy, off-the-wall comedy about a man who yearns to start a magazine called ""The Next Big Thing"" which reviews a variety of up and coming artists. This low budget indie makes ""Chuck and Buck"" look like a masterpiece. Fraught with lousy acting, poor sets and costuming, etc., ""...Thing"" has earned some awful reviews and to date has only been nominated for one fringe award. Pass on this one."|https://www.imdb.com/review/rw0564925/|https://www.imdb.com/title/tt0161743/|"""Comedy"",""Drama"""
28|Negative|"SUcks. That's all I got to say about this sorry excuse for a film. Sucks. Sucks. Sucks. I mean, what the hell were they thinking? The idiots involved should never be allowed to make another films. The acting was so bad that it even failed to entertain on a bad level. The attempt at a ""lesbian scene"" was sad. I felt so bad for the ladies involved. This movie sucks! Sucks! Sucks!<br /><br />I heard rumors of a sequel.<br /><br />God<br /><br />Help<br /><br />Us<br /><br />All"|https://www.imdb.com/review/rw0959660/|https://www.imdb.com/title/tt0338088/|"""Horror"""
29|Negative|"I really wish that when making a comedy, the people actually tried to make it funny. This is a film that you can sit through, but nothing is special about it. After watching it, you will say that it was alright. It was not boring to watch, but gave the audience no jokes to laugh at. Entertainment should mean that you actually get something more than an o.k. story. This movie wanted to be ""Tootsie"", but instead it failed.<br /><br />I gave it a 1 out of 10."|https://www.imdb.com/review/rw0273655/|https://www.imdb.com/title/tt0097994/|"""Comedy"",""Romance"""
30|Negative|Hello, can anybody hear me? I don't know why you came to this page, but if you're a fellow viewer of this movie: join the fanclub! This movie was so unbelievably bad I couldn't stop laughing when I saw it. I think it's a must see, it's bad in a nice way. Every cliche ever invented for a horror movie can be seen here. I'm afraid it's very hard to get a copy of this movie, but it should be in the top 10 of worst movies ever made.|https://www.imdb.com/review/rw0308503/|https://www.imdb.com/title/tt0104515/|"""Horror"",""Thriller"""
31|Negative|"Incredibly muddled, off-putting and ultimately ludicrous (""the horses, oh my God, the horses!"") thriller. It's creepy at times, but it has one of the worst scripts ever written for a horror film. Watch how in the final 10 minutes everybody ""magically"" does exactly what the plot needs for the ""resolution"" to occur. Bland performances by the leads, a typically eccentric one by Richard Lynch. The video transfer is a real hack job, cutting scenes in half and making the movie even more difficult to understand. 0 out of 4 stars."|https://www.imdb.com/review/rw0149395/|https://www.imdb.com/title/tt0075097/|"""Horror"",""Thriller"""
32|Negative|"A terrible storyline (Amis at his worst), pointless and self-conscious 'decadence', obvious shock tactics and patchy acting make this film (rather like ""Rancid Aluminium"") embody everything that went wrong with the much-vaunted British film revival. The humour is, at best, limp, and the pretentiousness of the whole set-up (including some kind of ""internet terrorist group"" - ooh, how contemporary) really begins to grate.<br /><br />Final summary - a half-baked attempt to be 'edgy' that does no-one any favours. Still, it's always a pleasure to see Katy Carmichael on screen...<br /><br />"|https://www.imdb.com/review/rw0686557/|https://www.imdb.com/title/tt0218138/|"""Comedy"""
33|Negative|"A study in bad. Bad acting, bad music, bad screenplay, bad editing, bad direction and a bad idea. Pieces of schlock don't come any cheesier or unintentionally funnier than this... thing. By the end of the ""movie"", you are left wondering why did they bother in the first place. Poor Malcolm McDowell, was he short of cash or something? Still thinking of seeing this? *SPOILERS AHOY*: If you haven't died of laughter in the first thirty minutes, by the time you'll see the cyborg-populated town named ""Cytown"", you will. Avoid this, my movie-loving friends. Avoid."|https://www.imdb.com/review/rw0359466/|https://www.imdb.com/title/tt0112765/|"""Action"",""Sci-Fi"",""Thriller"""
34|Negative|Formula flick of guy who wants girl, guy who will lie to get next to girl, guy who will get best friend to help in outrageous way (comedus reliefus, no?) to help deceive girl, etc. This one's been done to death, and with rare exception of a few z-rated outings, it's been done better.<br /><br />Stale plot aside, the leads are attractive and there's a couple of good moments. Jonathon Schaech has done better, and his acting here came close to being phoned in. Not a complete loss, but nothing new here in this tepid affair.|https://www.imdb.com/review/rw0611746/|https://www.imdb.com/title/tt0180303/|"""Comedy"",""Romance"""
