model,epochs,optimizer,hidden_layers,learning_rate,train_loss
deberta,5,adamw,2_hidden,5e-06,0.43283806545251596
deberta,10,adamw,2_hidden,5e-06,0.4246986105042609
deberta,15,adamw,2_hidden,5e-06,0.42369607772234835
deberta,20,adamw,2_hidden,5e-06,0.41963372881172345
electra_small_discriminator,5,adamw,2_hidden,1e-05,0.4038808787074368
electra_small_discriminator,10,adamw,2_hidden,1e-05,0.3847467735145311
electra_small_discriminator,15,adamw,2_hidden,1e-05,0.36930024909294973
electra_small_discriminator,20,adamw,2_hidden,1e-05,0.3612645125106008
distilbert,5,adamw,1_hidden,1.5e-05,0.34679284130295035
distilbert,10,adamw,1_hidden,1.5e-05,0.29935951744029315
distilbert,15,adamw,1_hidden,1.5e-05,0.28175571183664316
distilbert,20,adamw,1_hidden,1.5e-05,0.26984909213768293
roberta,5,adamw,2_hidden,8e-06,0.44801791970441135
roberta,10,adamw,2_hidden,8e-06,0.4312662310073918
roberta,15,adamw,2_hidden,8e-06,0.4207808809949859
roberta,20,adamw,2_hidden,8e-06,0.41406180216524446
bert,5,adamw,2_hidden,1e-05,0.35799456708957605
bert,10,adamw,2_hidden,1e-05,0.32474315453452957
bert,15,adamw,2_hidden,1e-05,0.2965894079337476
bert,20,adamw,2_hidden,1e-05,0.2863686581634156
albert,5,adamw,2_hidden,2e-05,0.346498188790175
albert,10,adamw,2_hidden,2e-05,0.3335977892521652
albert,15,adamw,2_hidden,2e-05,0.32686363113946854
albert,20,adamw,2_hidden,2e-05,0.32334368152540016
modern_bert,5,adamw,2_hidden,8e-06,0.4066524007484037
modern_bert,10,adamw,2_hidden,8e-06,0.39170064539152794
modern_bert,15,adamw,2_hidden,8e-06,0.3757017758326889
modern_bert,20,adamw,2_hidden,8e-06,0.3676491693626615
