model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,0.01,1,0.5563048391342164,,,,,
electra_small_discriminator,0.01,2,0.5573869806671142,,,,,
electra_small_discriminator,0.01,3,0.5549874263429642,,,,,
electra_small_discriminator,0.01,4,0.5515266206836701,,,,,
electra_small_discriminator,0.01,5,0.5520117044210434,,,,,
electra_small_discriminator,0.01,final_test,,0.5005890470253147,0.75196,0.7105984620528252,0.85016,0.774139501001639
electra_small_discriminator,0.05,1,0.5440227174139023,,,,,
electra_small_discriminator,0.05,2,0.5460127801799775,,,,,
electra_small_discriminator,0.05,3,0.5428107705831527,,,,,
electra_small_discriminator,0.05,4,0.5420569439983368,,,,,
electra_small_discriminator,0.05,5,0.5413905782032012,,,,,
electra_small_discriminator,0.05,final_test,,0.4895570155087756,0.75844,0.7232087335037656,0.83736,0.7761094427761093
electra_small_discriminator,0.1,1,0.5329147752046585,,,,,
electra_small_discriminator,0.1,2,0.5293904449224472,,,,,
electra_small_discriminator,0.1,3,0.5280056623458862,,,,,
electra_small_discriminator,0.1,4,0.5291354877853394,,,,,
electra_small_discriminator,0.1,5,0.5314243917226792,,,,,
electra_small_discriminator,0.1,final_test,,0.4850067248042394,0.76404,0.7310789049919485,0.83536,0.7797483478325804
electra_small_discriminator,0.25,1,0.499445522942543,,,,,
electra_small_discriminator,0.25,2,0.499527691822052,,,,,
electra_small_discriminator,0.25,3,0.5004619535636902,,,,,
electra_small_discriminator,0.25,4,0.5006170451021195,,,,,
electra_small_discriminator,0.25,5,0.49881467034339905,,,,,
electra_small_discriminator,0.25,final_test,,0.4710357504982027,0.77292,0.753775198988321,0.81064,0.7811741124773542
electra_small_discriminator,0.5,1,0.4611508729505539,,,,,
electra_small_discriminator,0.5,2,0.4548119683074951,,,,,
electra_small_discriminator,0.5,3,0.4763317135477066,,,,,
electra_small_discriminator,0.5,4,0.44554089100837707,,,,,
electra_small_discriminator,0.5,5,0.46812137919425967,,,,,
electra_small_discriminator,0.5,final_test,,0.48377373709712207,0.76084,0.7165150408393651,0.8632,0.783047280380275
modern_bert,0.01,1,0.4797652880859375,,,,,
modern_bert,0.01,2,0.4752442783355713,,,,,
modern_bert,0.01,3,0.4733443479681015,,,,,
modern_bert,0.01,4,0.46878206206798556,,,,,
modern_bert,0.01,5,0.4670539913606644,,,,,
modern_bert,0.01,final_test,,0.4283831667963008,0.80432,0.8153705853092356,0.7868,0.8008305512580409
modern_bert,0.05,1,0.45705614084720614,,,,,
modern_bert,0.05,2,0.4534587953329086,,,,,
modern_bert,0.05,3,0.4556595284128189,,,,,
modern_bert,0.05,4,0.45338269155025485,,,,,
modern_bert,0.05,5,0.44895150388002397,,,,,
modern_bert,0.05,final_test,,0.4113974101002485,0.81264,0.824638644293072,0.79416,0.809112397098378
modern_bert,0.1,1,0.4414755982518196,,,,,
modern_bert,0.1,2,0.4408759388613701,,,,,
modern_bert,0.1,3,0.4360396043920517,,,,,
modern_bert,0.1,4,0.4409142205321789,,,,,
modern_bert,0.1,5,0.4371193505764008,,,,,
modern_bert,0.1,final_test,,0.41743852973928147,0.80916,0.8616752456715021,0.73656,0.7942204011214148
modern_bert,0.25,1,0.39701624430418014,,,,,
modern_bert,0.25,2,0.42847373259067534,,,,,
modern_bert,0.25,3,0.4098838340139389,,,,,
modern_bert,0.25,4,0.4284969469952583,,,,,
modern_bert,0.25,5,0.4282250996208191,,,,,
modern_bert,0.25,final_test,,0.3979439760760302,0.81796,0.8361667935380191,0.79088,0.8128931464046375
modern_bert,0.5,1,0.40773795694351195,,,,,
modern_bert,0.5,2,0.3936609853172302,,,,,
modern_bert,0.5,3,0.422259062769413,,,,,
modern_bert,0.5,4,0.4060028354406357,,,,,
modern_bert,0.5,5,0.3957927446746826,,,,,
modern_bert,0.5,final_test,,0.4003102818810246,0.81608,0.8326317561879104,0.7912,0.8113873164328492
