model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
deberta,0.005,5,1,0.5525487551292777,,,,,
deberta,0.005,5,2,0.5350650825960934,,,,,
deberta,0.005,5,3,0.5640052115952968,,,,,
deberta,0.005,5,4,0.657799212981686,,,,,
deberta,0.005,5,5,0.5471484282496571,,,,,
deberta,0.005,5,final_test,,0.337884695584178,0.86812,0.8672093208842072,0.86936,0.8682833286724462
deberta,0.005,10,1,0.6317048302093148,,,,,
deberta,0.005,10,2,0.6514411303450912,,,,,
deberta,0.005,10,3,0.5875558086930588,,,,,
deberta,0.005,10,4,0.5756947647657246,,,,,
deberta,0.005,10,5,0.7598047123863175,,,,,
deberta,0.005,10,6,0.5725089282226935,,,,,
deberta,0.005,10,7,0.5255045086205751,,,,,
deberta,0.005,10,8,0.5176328168033808,,,,,
deberta,0.005,10,9,0.5100733905518428,,,,,
deberta,0.005,10,10,0.5649427728809416,,,,,
deberta,0.005,10,final_test,,0.3009966876886785,0.87792,0.879559697894906,0.87576,0.8776557363906037
deberta,0.01,5,1,0.5793155768800526,,,,,
deberta,0.01,5,2,0.6920268995758891,,,,,
deberta,0.01,5,3,0.9571583557470142,,,,,
deberta,0.01,5,4,0.945783299862817,,,,,
deberta,0.01,5,5,0.8321522919429839,,,,,
deberta,0.01,5,final_test,,0.29595711390778423,0.87956,0.881851106639839,0.87656,0.8791975927783351
deberta,0.01,10,1,0.7170317753444612,,,,,
deberta,0.01,10,2,0.7927411547174305,,,,,
deberta,0.01,10,3,1.1469209894917904,,,,,
deberta,0.01,10,4,0.6292208011141419,,,,,
deberta,0.01,10,5,0.5429130825801939,,,,,
deberta,0.01,10,6,0.634589176944755,,,,,
deberta,0.01,10,7,0.7011691168628633,,,,,
deberta,0.01,10,8,0.6079638925839216,,,,,
deberta,0.01,10,9,0.9638021332915128,,,,,
deberta,0.01,10,10,0.6838073759709299,,,,,
deberta,0.01,10,final_test,,0.2893149537012726,0.88116,0.8857582381993361,0.8752,0.8804474669027403
deberta,0.025,5,1,0.7607999894961714,,,,,
deberta,0.025,5,2,1.4602190834207833,,,,,
deberta,0.025,5,3,0.624095500048697,,,,,
deberta,0.025,5,4,0.7457578754495084,,,,,
deberta,0.025,5,5,1.4633213196988404,,,,,
deberta,0.025,5,final_test,,0.28790742689587173,0.88032,0.8904402102496715,0.86736,0.8787485816177663
deberta,0.025,10,1,0.628351763727814,,,,,
deberta,0.025,10,2,0.7701673852618038,,,,,
deberta,0.025,10,3,0.630549030187726,,,,,
deberta,0.025,10,4,0.6753735284480452,,,,,
deberta,0.025,10,5,0.6792863121338188,,,,,
deberta,0.025,10,6,1.1022230070114136,,,,,
deberta,0.025,10,7,0.7122734680710733,,,,,
deberta,0.025,10,8,0.7050635812015832,,,,,
deberta,0.025,10,9,0.9492320825694501,,,,,
deberta,0.025,10,10,0.5445778330738843,,,,,
deberta,0.025,10,final_test,,0.28457793697036804,0.88236,0.8901314178434413,0.8724,0.8811765181204799
deberta,0.05,5,1,0.810062898979187,,,,,
deberta,0.05,5,2,0.7260356544916332,,,,,
deberta,0.05,5,3,1.209033203691691,,,,,
deberta,0.05,5,4,0.5654667450444401,,,,,
deberta,0.05,5,5,0.7316433115259557,,,,,
deberta,0.05,5,final_test,,0.2827539737023786,0.88312,0.8884022708840227,0.87632,0.8823197744663712
deberta,0.05,10,1,0.989789984844327,,,,,
deberta,0.05,10,2,0.6881677693377435,,,,,
deberta,0.05,10,3,1.4638673621690272,,,,,
deberta,0.05,10,4,1.2161812966892123,,,,,
deberta,0.05,10,5,0.7869002977523207,,,,,
deberta,0.05,10,6,0.5773021086962521,,,,,
deberta,0.05,10,7,0.6731860313457251,,,,,
deberta,0.05,10,8,0.5529149691487849,,,,,
deberta,0.05,10,9,0.5812622043214738,,,,,
deberta,0.05,10,10,0.5575297557355463,,,,,
deberta,0.05,10,final_test,,0.2797462209136039,0.88404,0.8919095436362152,0.874,0.8828639540991554
deberta,0.075,5,1,0.5707971718494594,,,,,
deberta,0.075,5,2,0.6549661753502488,,,,,
deberta,0.075,5,3,0.5845936000975966,,,,,
deberta,0.075,5,4,0.7165471719446779,,,,,
deberta,0.075,5,5,0.576229414280504,,,,,
deberta,0.075,5,final_test,,0.27774516590468584,0.88476,0.8948362203431574,0.872,0.8832705319881691
deberta,0.075,10,1,0.5666112028761208,,,,,
deberta,0.075,10,2,0.5557214465238154,,,,,
deberta,0.075,10,3,0.5552950815218687,,,,,
deberta,0.075,10,4,0.5381245524710416,,,,,
deberta,0.075,10,5,0.5254444468389452,,,,,
deberta,0.075,10,6,0.5071672505128384,,,,,
deberta,0.075,10,7,0.5269369112023711,,,,,
deberta,0.075,10,8,0.5518923658072948,,,,,
deberta,0.075,10,9,0.5246165920844674,,,,,
deberta,0.075,10,10,0.5670157507799566,,,,,
deberta,0.075,10,final_test,,0.27539248914640396,0.88584,0.8982658959537573,0.87024,0.884030881755384
deberta,0.1,5,1,0.7965824025981129,,,,,
deberta,0.1,5,2,0.5627638145124912,,,,,
deberta,0.1,5,3,0.6740983054825663,,,,,
deberta,0.1,5,4,0.7112600978332758,,,,,
deberta,0.1,5,5,0.6287010815891624,,,,,
deberta,0.1,5,final_test,,0.27607409078110007,0.88492,0.8959104747798897,0.87104,0.8833002068713747
deberta,0.1,10,1,0.5567135884404183,,,,,
deberta,0.1,10,2,0.6324576962685585,,,,,
deberta,0.1,10,3,0.8595565422871709,,,,,
deberta,0.1,10,4,0.5671065095092356,,,,,
deberta,0.1,10,5,0.6317396865600348,,,,,
deberta,0.1,10,6,0.5494762731873989,,,,,
deberta,0.1,10,7,0.5242357052725554,,,,,
deberta,0.1,10,8,0.5961368841861934,,,,,
deberta,0.1,10,9,0.5853039488524199,,,,,
deberta,0.1,10,10,0.600400307752192,,,,,
deberta,0.1,10,final_test,,0.2737295642900467,0.88616,0.8949435444280806,0.87504,0.8848798640886659
deberta,0.25,5,1,0.7384577553343773,,,,,
deberta,0.25,5,2,0.741835362136364,,,,,
deberta,0.25,5,3,0.6420401687425376,,,,,
deberta,0.25,5,4,0.6327857551282644,,,,,
deberta,0.25,5,5,0.7205039856538177,,,,,
deberta,0.25,5,final_test,,0.2760094890119135,0.88532,0.8945040543861086,0.87368,0.8839694038609412
deberta,0.25,10,1,1.1225886960297824,,,,,
deberta,0.25,10,2,0.697573327267766,,,,,
deberta,0.25,10,3,0.6406829808652401,,,,,
deberta,0.25,10,4,0.7298016281741857,,,,,
deberta,0.25,10,5,0.6512809877032042,,,,,
deberta,0.25,10,6,0.7197472868418694,,,,,
deberta,0.25,10,7,0.6728540153318644,,,,,
deberta,0.25,10,8,0.6927411186257004,,,,,
deberta,0.25,10,9,0.6347630817878246,,,,,
deberta,0.25,10,10,0.6934006036454439,,,,,
deberta,0.25,10,final_test,,0.2729121978738159,0.88612,0.8973409072198897,0.872,0.8844889844605835
deberta,0.5,5,1,1.288420799971223,,,,,
deberta,0.5,5,2,0.8530204407787323,,,,,
deberta,0.5,5,3,1.1220155535143614,,,,,
deberta,0.5,5,4,1.1049094267457724,,,,,
deberta,0.5,5,5,0.7817878645229339,,,,,
deberta,0.5,5,final_test,,0.284251433673203,0.88252,0.9063482620888926,0.8532,0.878971442699963
deberta,0.5,10,1,0.7845916550779343,,,,,
deberta,0.5,10,2,1.471922242230177,,,,,
deberta,0.5,10,3,1.1367008556209504,,,,,
deberta,0.5,10,4,0.8709490029710532,,,,,
deberta,0.5,10,5,1.373191556736827,,,,,
deberta,0.5,10,6,1.161833647081852,,,,,
deberta,0.5,10,7,0.918344928061366,,,,,
deberta,0.5,10,8,1.3778616177135705,,,,,
deberta,0.5,10,9,0.8870017094159126,,,,,
deberta,0.5,10,10,1.788702408953309,,,,,
deberta,0.5,10,final_test,,0.2827349161729217,0.8834,0.9025619487610248,0.8596,0.8805572628559722
deberta,0.75,5,1,0.9632901982235909,,,,,
deberta,0.75,5,2,2.0132314231562614,,,,,
deberta,0.75,5,3,0.864813396025896,,,,,
deberta,0.75,5,4,0.9341126601672173,,,,,
deberta,0.75,5,5,2.279728767712116,,,,,
deberta,0.75,5,final_test,,0.3570446398675442,0.87472,0.917320028510335,0.82368,0.8679817905918057
deberta,0.75,10,1,0.9538761685919762,,,,,
deberta,0.75,10,2,0.8378654756307602,,,,,
deberta,0.75,10,3,0.997947893949747,,,,,
deberta,0.75,10,4,1.205750996825695,,,,,
deberta,0.75,10,5,2.011916162352562,,,,,
deberta,0.75,10,6,1.7671376707661153,,,,,
deberta,0.75,10,7,1.4315616861605645,,,,,
deberta,0.75,10,8,0.9251582086110115,,,,,
deberta,0.75,10,9,0.9509912440800666,,,,,
deberta,0.75,10,10,0.7621075811505318,,,,,
deberta,0.75,10,final_test,,0.3609176361453533,0.87792,0.916138125440451,0.832,0.8720442730169379
deberta,1,5,1,3.8464448908042908,,,,,
deberta,1,5,2,1.4666787336850167,,,,,
deberta,1,5,3,1.0887547826480866,,,,,
deberta,1,5,4,0.8471421521162987,,,,,
deberta,1,5,5,0.7886205870199203,,,,,
deberta,1,5,final_test,,0.5293176979410649,0.87708,0.9124879670954756,0.83416,0.8715676850420029
deberta,1,10,1,0.7829204429674148,,,,,
deberta,1,10,2,0.7838966863870621,,,,,
deberta,1,10,3,0.7711077191400528,,,,,
deberta,1,10,4,0.9300499777173996,,,,,
deberta,1,10,5,0.8626284558224678,,,,,
deberta,1,10,6,0.7766611741447449,,,,,
deberta,1,10,7,0.8278141082477569,,,,,
deberta,1,10,8,0.7820655168628693,,,,,
deberta,1,10,9,0.8137863493013382,,,,,
deberta,1,10,10,0.7927234448194503,,,,,
deberta,1,10,final_test,,0.5585286039626598,0.884,0.90127069051998,0.86248,0.8814487776960184
