model,epochs,optimizer,hidden_layers,learning_rate,train_loss
deberta,5,adamw,2_hidden,0.0005,0.3444927875380302
deberta,10,adamw,2_hidden,0.0005,0.33066576116938057
electra_small_discriminator,5,adamw,2_hidden,0.001,0.3492348918026325
electra_small_discriminator,10,adamw,2_hidden,0.001,0.34306427393116384
distilbert,5,adamw,1_hidden,0.0005,0.2553483439028061
distilbert,10,adamw,1_hidden,0.0005,0.24748509475234157
roberta,5,adamw,2_hidden,0.0005,0.3149983929022991
roberta,10,adamw,2_hidden,0.0005,0.3148100058390664
bert,5,adamw,2_hidden,0.0005,0.26972937330580266
bert,10,adamw,2_hidden,0.0005,0.25763795741820134
albert,5,adamw,2_hidden,0.0005,0.32126133837630205
albert,10,adamw,2_hidden,0.0005,0.31045808520222506
modern_bert,5,adamw,2_hidden,0.0005,0.2954743810830198
modern_bert,10,adamw,2_hidden,0.0005,0.27954367727103463
