model,epochs,train_loss,test_loss,accuracy,precision,recall,f1
electra_small_discriminator,5,0.5618810172997754,0.5186143606634226,0.74048,0.7547657985305963,0.74048,0.7367901773080029
electra_small_discriminator,10,0.5502379090928604,0.4998997975848687,0.75596,0.7619161406650534,0.75596,0.7545646608271482
distilbert,5,0.3528418661603467,0.31600125365362036,0.86588,0.865891804547755,0.86588,0.8658789182330031
distilbert,10,0.34375062907115816,0.3200696853170635,0.86228,0.864534371541391,0.86228,0.8620667465831825
roberta,5,0.36236104718573336,0.28572647565509823,0.88728,0.8888728230833495,0.88728,0.8871644564033571
roberta,10,0.34426345418535664,0.26115631355331426,0.89568,0.8969390678595603,0.89568,0.8955972100910023
bert,5,0.36526298005269725,0.3235055832508105,0.86032,0.8612849278781595,0.86032,0.8602266725665421
bert,10,0.35591852311247524,0.3204167341737176,0.86104,0.8631021039061155,0.86104,0.8608424265263555
albert,5,0.2833152227199047,0.2803317920947763,0.88324,0.88699317998215,0.88324,0.8829562182685945
albert,10,0.2678992950410528,0.26012400584206014,0.892,0.8931703870920051,0.892,0.8919195667144776
modern_bert,5,0.4902611128599767,0.4790701958388376,0.76932,0.7882206348899661,0.76932,0.7654751428303553
modern_bert,10,0.47460203093934805,0.4443493838340368,0.79492,0.7950172924548027,0.79492,0.7949030904981604
