model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,10,0.5545416919852767,0.5120665816318654,0.74528,0.7558438541399641,0.74528,0.7426232126701806
electra_small_discriminator,20,0.5449291577043436,0.492649784364054,0.75984,0.7633248947433321,0.75984,0.7590427808963518
electra_small_discriminator,40,0.543557439008942,0.48629557743401786,0.76456,0.7676263453374872,0.76456,0.763883670652935
electra_small_discriminator,60,0.5355147946902248,0.4797552885759212,0.76828,0.7696500483200664,0.76828,0.7679852926914355
electra_small_discriminator,80,0.532821557748958,0.4797253540104917,0.76896,0.7709527975661973,0.76896,0.7685344055076141
electra_small_discriminator,100,0.5318370806362928,0.4812292823248812,0.76484,0.7692458109353296,0.76484,0.7638740366412131
modern_bert,10,0.5445657645328946,0.5310214825322517,0.7426,0.7426078271107615,0.7426,0.7425979238978151
modern_bert,20,0.5038832643725364,0.4829022374840707,0.77212,0.7721337956594906,0.77212,0.7721171119034295
modern_bert,40,0.48038155409630795,0.45198317060410326,0.78716,0.7876183504440252,0.78716,0.7870751704072105
modern_bert,60,0.47046519115672075,0.43938887112381286,0.79588,0.7963909514436596,0.79588,0.7957919909223469
modern_bert,80,0.46603950699856855,0.433855664075584,0.79844,0.7988187108814228,0.79844,0.7983761174890652
