model,epoch,train_loss,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
CausalNeutralClassifier,1,0.5458394175565784,0,,0,0,0,0
CausalNeutralClassifier,2,0.3448063241185588,0,,0,0,0,0
CausalNeutralClassifier,3,0.3263059129517809,0,,0,0,0,0
CausalNeutralClassifier,4,0.32377541471589705,0.31896761188465894,,0.86392,0.8746769426514348,0.86392,0.8629362277351466
CausalNeutralClassifier,5,0.32042333805696444,0,,0,0,0,0
CausalNeutralClassifier,6,0.30149812186977,0,,0,0,0,0
CausalNeutralClassifier,7,0.29461951647013407,0,,0,0,0,0
CausalNeutralClassifier,8,0.2814776917379671,0.2631209148040431,,0.89144,0.891514128345427,0.89144,0.8914348611342909
CausalNeutralClassifier,9,0.27971363482580913,0,,0,0,0,0
CausalNeutralClassifier,10,0.28272682916246694,0,,0,0,0,0
CausalNeutralClassifier,11,0.2848554680735273,0,,0,0,0,0
CausalNeutralClassifier,12,0.2903510103513435,0.26640830554010886,,0.89068,0.8910025138879514,0.89068,0.8906574525170206
CausalNeutralClassifier,13,0.28462345624772767,0,,0,0,0,0
CausalNeutralClassifier,14,0.28275874644632304,0,,0,0,0,0
CausalNeutralClassifier,15,0.2778597447189359,0,,0,0,0,0
CausalNeutralClassifier,16,0.2702466787321115,0.2576330894424377,,0.89448,0.8944961585626547,0.89448,0.8944789194641353
CausalNeutralClassifier,17,0.2712082124898545,0,,0,0,0,0
CausalNeutralClassifier,18,0.2697933578967419,0,,0,0,0,0
CausalNeutralClassifier,19,0.27274164376078475,0,,0,0,0,0
CausalNeutralClassifier,20,0.2763219704650109,0.2670790218770199,,0.88788,0.8897987553722927,0.88788,0.8877418544075818
albert,1,0.5458394175565784,0,,,,,
albert,2,0.3448063241185588,0,,,,,
albert,3,0.3263059129517809,0,,,,,
albert,4,0.32377541471589705,0.31896761188465894,,,,,
albert,5,0.32042333805696444,0,,,,,
albert,6,0.30149812186977,0,,,,,
albert,7,0.29461951647013407,0,,,,,
albert,8,0.2814776917379671,0.2631209148040431,,,,,
albert,9,0.27971363482580913,0,,,,,
albert,10,0.28272682916246694,0,,,,,
albert,11,0.2848554680735273,0,,,,,
albert,12,0.2903510103513435,0.26640830554010886,,,,,
albert,13,0.28462345624772767,0,,,,,
albert,14,0.28275874644632304,0,,,,,
albert,15,0.2778597447189359,0,,,,,
albert,16,0.2702466787321115,0.2576330894424377,,,,,
albert,17,0.2712082124898545,0,,,,,
albert,18,0.2697933578967419,0,,,,,
albert,19,0.27274164376078475,0,,,,,
albert,20,0.2763219704650109,0.2670790218770199,,,,,
albert,naive_baseline,,,0.2670790218770199,0.88788,0.8897987553722927,0.88788,0.8877418544075818
CausalNeutralClassifier,1,0.6131453233617892,0,,0,0,0,0
CausalNeutralClassifier,2,0.4238218715842229,0,,0,0,0,0
CausalNeutralClassifier,3,0.4053592645227718,0,,0,0,0,0
CausalNeutralClassifier,4,0.39258248263628,0.3437694211908147,,0.84956,0.8516123472061484,0.84956,0.8493401511221235
CausalNeutralClassifier,5,0.39415154570829236,0,,0,0,0,0
CausalNeutralClassifier,6,0.3798617074553279,0,,0,0,0,0
CausalNeutralClassifier,7,0.3730372548846961,0,,0,0,0,0
CausalNeutralClassifier,8,0.3636870178598398,0.32497922046752364,,0.85952,0.8595677183757326,0.85952,0.859515339056113
CausalNeutralClassifier,9,0.36366306459835074,0,,0,0,0,0
CausalNeutralClassifier,10,0.36537083566083944,0,,0,0,0,0
CausalNeutralClassifier,11,0.367561554773374,0,,0,0,0,0
CausalNeutralClassifier,12,0.370858421309667,0.32759435960614214,,0.855,0.8576352372484224,0.855,0.8547323987166112
CausalNeutralClassifier,13,0.36703267169643194,0,,0,0,0,0
CausalNeutralClassifier,14,0.3657243770385734,0,,0,0,0,0
CausalNeutralClassifier,15,0.3591275146649346,0,,0,0,0,0
CausalNeutralClassifier,16,0.3606062277541356,0.3207174719645572,,0.86152,0.8620449965256499,0.86152,0.8614697798029257
CausalNeutralClassifier,17,0.3550816361845417,0,,0,0,0,0
CausalNeutralClassifier,18,0.3580723081739835,0,,0,0,0,0
CausalNeutralClassifier,19,0.36005797992226257,0,,0,0,0,0
CausalNeutralClassifier,20,0.35651865131528576,0.3306645645902409,,0.85572,0.8586982190866155,0.85572,0.8554198931058304
bert,1,0.6131453233617892,0,,,,,
bert,2,0.4238218715842229,0,,,,,
bert,3,0.4053592645227718,0,,,,,
bert,4,0.39258248263628,0.3437694211908147,,,,,
bert,5,0.39415154570829236,0,,,,,
bert,6,0.3798617074553279,0,,,,,
bert,7,0.3730372548846961,0,,,,,
bert,8,0.3636870178598398,0.32497922046752364,,,,,
bert,9,0.36366306459835074,0,,,,,
bert,10,0.36537083566083944,0,,,,,
bert,11,0.367561554773374,0,,,,,
bert,12,0.370858421309667,0.32759435960614214,,,,,
bert,13,0.36703267169643194,0,,,,,
bert,14,0.3657243770385734,0,,,,,
bert,15,0.3591275146649346,0,,,,,
bert,16,0.3606062277541356,0.3207174719645572,,,,,
bert,17,0.3550816361845417,0,,,,,
bert,18,0.3580723081739835,0,,,,,
bert,19,0.36005797992226257,0,,,,,
bert,20,0.35651865131528576,0.3306645645902409,,,,,
bert,naive_baseline,,,0.3306645645902409,0.85572,0.8586982190866155,0.85572,0.8554198931058304
