model,epoch,train_loss,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,1,0.6925099893250835,0,,0,0,0,0
roberta,2,0.6363578455919496,0,,0,0,0,0
roberta,3,0.4486484920090006,0,,0,0,0,0
roberta,4,0.410093405744584,0.30899446475976794,,0.8744,0.8786871015289248,0.8744,0.874043512911984
roberta,5,0.38114575358132713,0,,0,0,0,0
roberta,6,0.36441844778989874,0,,0,0,0,0
roberta,7,0.3583476881777256,0,,0,0,0,0
roberta,8,0.3476296767868907,0.2658641042237862,,0.8946,0.8946345737771548,0.8946,0.8945976914364769
roberta,9,0.34835908977137264,0,,0,0,0,0
roberta,10,0.34633538615070547,0,,0,0,0,0
roberta,11,0.34992226987590946,0,,0,0,0,0
roberta,12,0.35120089589996517,0.26020236256557994,,0.897,0.8971263916693204,0.897,0.8969918040086745
roberta,13,0.3519819759294839,0,,0,0,0,0
roberta,14,0.3452839693239272,0,,0,0,0,0
roberta,15,0.3403206004791548,0,,0,0,0,0
roberta,16,0.3360040163048093,0.25734097057308764,,0.89596,0.8967648778660627,0.89596,0.8959072092995591
roberta,17,0.339095715669318,0,,0,0,0,0
roberta,18,0.3409500316438466,0,,0,0,0,0
roberta,19,0.341607803036712,0,,0,0,0,0
roberta,20,0.33943148399211626,0.2590974045354904,,0.89504,0.8966975330445671,0.89504,0.8949302459841827
roberta,1,0.6925099893250835,0,,,,,
roberta,2,0.6363578455919496,0,,,,,
roberta,3,0.4486484920090006,0,,,,,
roberta,4,0.410093405744584,0.30899446475976794,,,,,
roberta,5,0.38114575358132713,0,,,,,
roberta,6,0.36441844778989874,0,,,,,
roberta,7,0.3583476881777256,0,,,,,
roberta,8,0.3476296767868907,0.2658641042237862,,,,,
roberta,9,0.34835908977137264,0,,,,,
roberta,10,0.34633538615070547,0,,,,,
roberta,11,0.34992226987590946,0,,,,,
roberta,12,0.35120089589996517,0.26020236256557994,,,,,
roberta,13,0.3519819759294839,0,,,,,
roberta,14,0.3452839693239272,0,,,,,
roberta,15,0.3403206004791548,0,,,,,
roberta,16,0.3360040163048093,0.25734097057308764,,,,,
roberta,17,0.339095715669318,0,,,,,
roberta,18,0.3409500316438466,0,,,,,
roberta,19,0.341607803036712,0,,,,,
roberta,20,0.33943148399211626,0.2590974045354904,,,,,
roberta,naive_baseline,,,0.2590974045354904,0.89504,0.8966975330445671,0.89504,0.8949302459841827
