model,experiment_type,lambda_reg,epochs,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,naive_baseline,,5,0.2833152227199047,0.2803317920947763,0.88324,0.88699317998215,0.88324,0.8829562182685945
albert,naive_baseline,,10,0.2678992950410528,0.2601240058420601,0.892,0.8931703870920051,0.892,0.8919195667144776
albert,causal_subset,,5,0.4550070887048963,0.4430225694639059,0.79144,0.7938757247622334,0.79144,0.7910069516907926
albert,causal_subset,,10,0.4411751806964801,0.4313364214170307,0.79872,0.7990480360780263,0.79872,0.798664787119765
albert,causal_mediation,1.0,5,,0.2766661113765631,0.89708,0.8912272404823836,0.90456,0.8978441259379839
albert,causal_mediation,1.0,10,,0.2545354326535076,0.9026,0.8979204554439788,0.90848,0.9031693641388636
albert,causal_mediation,0.75,5,,0.2419645145954951,0.90568,0.9052261467156784,0.90624,0.9057327896378028
albert,causal_mediation,0.75,10,,0.22621554775987,0.9128,0.9091341579448144,0.91728,0.9131889136667728
albert,causal_mediation,0.5,5,,0.2149318767972505,0.91732,0.913843712812376,0.92152,0.917665803624776
albert,causal_mediation,0.5,10,,0.2027862948405432,0.92308,0.913390135230204,0.9348,0.9239710591863362
albert,causal_mediation,0.25,5,,0.1934307589090202,0.92568,0.9196372239747634,0.93288,0.9262112787926926
albert,causal_mediation,0.25,10,,0.1827133990385077,0.93116,0.9227390383559496,0.94112,0.9318388847083052
albert,causal_mediation,0.1,5,,0.1753268316748623,0.93348,0.9267543514215956,0.94136,0.9340000793745288
albert,causal_mediation,0.1,10,,0.1639516524936567,0.939,0.9343782157840576,0.94432,0.9393228026896908
albert,causal_mediation,0.075,5,,0.1589186148356315,0.94252,0.9380692167577414,0.9476,0.942810522545469
albert,causal_mediation,0.075,10,,0.1486451634560709,0.947,0.9403420285286468,0.95456,0.9473976735876772
albert,causal_mediation,0.05,5,,0.1429976933917015,0.94896,0.9438468838975008,0.95472,0.9492523067133312
albert,causal_mediation,0.05,10,,0.1345137576574086,0.95288,0.9468034727703236,0.95968,0.9531982518871672
albert,causal_mediation,0.025,5,,0.1298367459018925,0.95508,0.9512891709639032,0.95928,0.9552678749253136
