model,original_epochs,regularized_epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,5,5,0.43023069084757737,0.3905545899268154,0.84912,0.8567665634845008,0.84912,0.8483071935366961
roberta,10,5,0.8650149048098823,0.5331942520540236,0.68372,0.7986812763191334,0.68372,0.6500460136160294
albert,5,5,0.7235582176681674,0.37525940699802945,0.85608,0.8562907325717848,0.85608,0.8560587160356818
albert,10,5,0.8303755069404002,0.40569268921604545,0.824,0.8240139434864384,0.824,0.8239981065012291
distilbert,5,5,1.1103895908350225,0.39365240957473624,0.82536,0.8304142618487871,0.82536,0.8246895804179041
distilbert,10,5,1.1903607643321348,0.3697173236476262,0.8426,0.8434205189860376,0.8426,0.8425059266480676
bert,5,5,0.5744861160855159,0.3846594123050685,0.83616,0.8403565560377291,0.83616,0.8356534064901652
bert,10,5,0.7404628190047601,0.41538408048012676,0.815,0.8261679250417119,0.815,0.8134027366812154
electra_small_discriminator,5,5,0.29586910380198217,0.6605345230844929,0.54,0.7002378761893009,0.54,0.4249573042299245
electra_small_discriminator,10,5,0.3934170768007903,0.5949868470659037,0.69116,0.7143438737307748,0.69116,0.682576711243421
t5_batch_4,5,5,0.06133463853120804,0.5916873390650749,0.68392,0.686435602732696,0.68392,0.6828501627673008
t5_batch_4,10,5,0.07799313225507737,0.5683603776347638,0.70416,0.7056783683946393,0.70416,0.7036129995331992
