model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,5,5,0.01,0.3429431626978128,0.26344222812901447,0.89448,0.8968500673371912,0.89448,0.8943222178296018
roberta,5,5,0.025,0.34013699389555874,0.2593341708049902,0.8954,0.8978303398171862,0.8954,0.8952400056758043
roberta,5,5,0.05,0.33312235191426315,0.25182137892121814,0.89708,0.8990442657090596,0.89708,0.8969531899360357
roberta,5,5,0.1,0.3331347105981749,0.25270145249498244,0.89864,0.9000725901727489,0.89864,0.8985491805771674
roberta,5,5,0.25,0.348359722139128,0.24031500725904503,0.9026,0.902670161248896,0.9026,0.9025957570711779
roberta,5,5,0.5,0.3728664295981302,0.2431991519692266,0.90248,0.9032048655791435,0.90248,0.9024361509036622
roberta,5,5,1,0.4465843487025984,0.24509102602720337,0.90272,0.9034235293245726,0.90272,0.9026775699119357
roberta,10,5,0.01,0.3452204379927167,0.2522265821257058,0.899,0.8997267710634537,0.899,0.8989540703406222
roberta,10,5,0.025,0.3533121580091279,0.24839826739724258,0.90136,0.9015529407268993,0.90136,0.9013481497819089
roberta,10,5,0.05,0.37194573218979493,0.24419644497849446,0.90192,0.9022003175333081,0.90192,0.9019029075626137
roberta,10,5,0.1,0.40362191388902763,0.2420650581279031,0.90152,0.9020226608327098,0.90152,0.9014892072599795
roberta,10,5,0.25,0.5236672725518952,0.2431309454028716,0.90432,0.9043797938608471,0.90432,0.9043164629240951
roberta,10,5,0.5,0.7237626168962634,0.2409259232256533,0.90424,0.9043940864405141,0.90424,0.904230877263214
roberta,10,5,1,1.0514884234008277,0.24234487829477433,0.90424,0.9043940864405141,0.90424,0.904230877263214
