model_type,model,epochs,lambda,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,model_path
regularized,distilroberta,5,0.0,0.34579337555534984,0.3123243086192073,0.87304,0.8731821937605615,0.87304,0.873027904942958,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.0/20240925_193716.pth
regularized,distilroberta,5,0.01,0.34639637689201197,0.3117854058438418,0.87264,0.8730105899003762,0.87264,0.8726083587698912,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.01/20240925_203825.pth
regularized,distilroberta,5,0.025,0.34442213329733634,0.3110374289811874,0.87316,0.8732603921150633,0.87316,0.8731514707048902,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.025/20240925_213309.pth
regularized,distilroberta,5,0.05,0.3459789713426512,0.3192453994130602,0.87088,0.873108276652853,0.87088,0.8706869291713244,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.05/20240925_221305.pth
regularized,distilroberta,5,0.1,0.34636934010349973,0.3122002593412691,0.872,0.872130408785046,0.872,0.8719887849886573,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.1/20240925_225301.pth
regularized,distilroberta,5,0.25,0.3460390297125797,0.31629340244191034,0.87204,0.8732888249226433,0.87204,0.8719328889713907,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.25/20240925_233251.pth
regularized,distilroberta,5,0.5,0.3423494882121378,0.3158713845270021,0.87232,0.8732985798291073,0.87232,0.8722362687610953,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda0.5/20240926_001234.pth
regularized,distilroberta,5,1,0.3322315193256553,0.38020704504178493,0.85804,0.8580817666572629,0.85804,0.8580358603256871,trained_models/imdb_sentiment/regularized/distilroberta_5_10epochs_lambda1/20240926_005224.pth
regularized,distilroberta,10,0.0,0.3215477278037947,0.28178721696746595,0.88496,0.8852124528330888,0.88496,0.8849411487578125,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.0/20240926_045205.pth
regularized,distilroberta,10,0.01,0.33376871490356874,0.2822337121683724,0.88524,0.8853929263797021,0.88524,0.8852286144949236,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.01/20240926_054713.pth
regularized,distilroberta,10,0.025,0.3367877261979239,0.2815632479531424,0.88512,0.8851683155134981,0.88512,0.8851163972502178,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.025/20240926_064215.pth
regularized,distilroberta,10,0.05,0.3513717456739776,0.28449575891908335,0.88304,0.8838213891109801,0.88304,0.8829804424749272,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.05/20240926_073721.pth
regularized,distilroberta,10,0.1,0.37878466899297675,0.2855531699499305,0.88268,0.8837207759909488,0.88268,0.8826003934869763,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.1/20240926_083228.pth
regularized,distilroberta,10,0.25,0.47022068226824,0.28242919457202054,0.88484,0.8850002216922593,0.88484,0.8848280175069414,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.25/20240926_092729.pth
regularized,distilroberta,10,0.5,0.6133104060985604,0.2821595281058428,0.88468,0.884820680589414,0.88468,0.8846694595267163,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda0.5/20240926_102227.pth
regularized,distilroberta,10,1,0.8894318840941604,0.3075992002779124,0.87544,0.8754569550353583,0.87544,0.875438593751548,trained_models/imdb_sentiment/regularized/distilroberta_10_10epochs_lambda1/20240926_111726.pth
